20200811 071500;3.03080000;3.03110000;3.03080000;3.03100000;143.10000000
20200811 071600;3.03100000;3.03100000;3.03010000;3.03070000;222.28000000
20200811 071700;3.03070000;3.04300000;3.03070000;3.04300000;1792.03000000
20200811 071800;3.04300000;3.04300000;3.04300000;3.04300000;0.00000000
20200811 071900;3.04300000;3.04300000;3.03140000;3.04230000;107.57000000
20200811 072000;3.04230000;3.04230000;3.03160000;3.03160000;48.53000000
20200811 072100;3.03160000;3.03160000;3.03160000;3.03160000;0.00000000
20200811 072200;3.03180000;3.03180000;3.03180000;3.03180000;56.77000000
20200811 072300;3.03180000;3.03180000;3.03180000;3.03180000;0.00000000
20200811 072400;3.03220000;3.05430000;3.03140000;3.03140000;2638.01000000
20200811 072500;3.03140000;3.03140000;3.03140000;3.03140000;418.00000000
20200811 072600;3.03140000;3.03450000;3.03110000;3.03450000;349.32000000
20200811 072700;3.03110000;3.04630000;3.03100000;3.04630000;806.13000000
20200811 072800;3.03450000;3.03450000;3.03450000;3.03450000;757.59000000
20200811 072900;3.03450000;3.03450000;3.03450000;3.03450000;0.00000000
20200811 073000;3.03450000;3.03450000;3.03450000;3.03450000;0.00000000
20200811 073100;3.10400000;3.10400000;3.03740000;3.03740000;154.57000000
20200811 073200;3.03450000;3.03450000;3.03450000;3.03450000;1159.74000000
20200811 073300;3.04760000;3.10890000;3.04760000;3.10890000;115.32000000
20200811 073400;3.03100000;3.03110000;3.00680000;3.00680000;445.39000000
20200811 073500;3.00660000;3.04240000;2.97800000;2.99300000;7906.35000000
20200811 073600;2.99300000;2.99300000;2.99300000;2.99300000;0.00000000
20200811 073700;2.99300000;2.99300000;2.99300000;2.99300000;0.00000000
20200811 073800;2.96950000;2.96950000;2.96950000;2.96950000;17.92000000
20200811 073900;2.96950000;2.96950000;2.96950000;2.96950000;234.21000000
20200811 074000;2.95690000;2.95690000;2.90000000;2.91070000;1966.07000000
20200811 074100;2.94760000;2.94760000;2.88000000;2.89000000;5218.89000000
